uma,中項目,小項目(辞書版出来ました),"追加したい項目は追加希望シートに記載ください,調べたい物は,検索シートが便利です",,大項目,34,中項目,
シチュ,シチュ,健全：怒り泣きしながら窓際で胸元が開いている(謎シチュｗ),"{{game cg}},{{{{{hyper detailed}}}}},girl,blush,{{{{{open clothes}}}}},open shirt,red eyes,red hair,ribbon,streaked hair,twintails,white hair,{{{open chest}}},from above,loli,background classroom,sitting in window,{{{{angry}}}},{{{{{tearing up}}}}},",",",,,,
シチュ,シチュ,見つめ合う,eye contact,",",,,,
シチュ,シチュ,口を塞ぐ（人質的な）,gag,",",,,,
シチュ,シチュ,向き合う,asymmetrical docking,",",,,,
シチュ,シチュ,催眠,kao,",",,,,
シチュ,シチュ,自撮り,selfie,,,,,
シチュ,シチュ,衆人環視,crowd,,,,,
シチュ,シチュ,女の子サンド,girl sandwich,,,,,
シチュ,シチュ,食べさせる,feeding,,,,,
シチュ,シチュ,寝る(起きてる),zzz,,,,,
シチュ,シチュ,身長差,height difference,,,,,
シチュ,シチュ,水に浸かる,partially submerged,,,,,
シチュ,シチュ,水に浮かんでいる,afloat,,,,,
シチュ,シチュ,水遊び,wading,,,,,
シチュ,シチュ,槍を手に握っている,polearm,,,,,
シチュ,シチュ,相合傘,holding umbrella,,,,,
シチュ,シチュ,頭なでなで,headpat,,,,,
